Unnamed: 0,Movie,Year,Certificate,Genre,Overview,Runtime,Rating,No.of.Ratings,tmdb_id,tmdb_title,language
248,Raja The Great,2017.0,UA,"Action, Comedy            ",    Raja who is born blind but has extraordinary senses and is a trained skillful fighter is assigned to rescue a girl.,149,6.5,1321,456431,Raja the Great,Telugu
274,Nene Raju Nene Mantri,2017.0,UA,"Action, Thriller            ",    Radha jogendhra journey to the Chief Minister position and what inspired him to go after political power.,153,5.8,1144,460699,Nene Raju Nene Mantri,Telugu
224,MCA Middle Class Abbayi,2017.0,UA,"Action, Comedy            ","    A youngster tries to protect his sister-in-law, a transport official, from a dreaded goon who runs an illegal road transport business.",144,5.8,1534,485869,M.C.A,Telugu
289,Shatamanam Bhavati,2017.0,U,Drama            ,    The anguish that negligent children can cause is depicted here from the parents' perspective.,129,7.0,1077,435410,Shatamanam Bhavati,Telugu
1070,Snehamera Jeevitham,2017.0,A,Action            ,    It's about friendship between two friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival where a tiny misunderstanding leads to a war between two close friends.,130,8.3,89,660905,Snehamera Jeevitham,Telugu
395,Luck Unnodu,2017.0,,Comedy            ,"    The ironically-named Lucky gets embroiled in a heist when a friend hands him a bag of cash, which was stolen from a don, who stole it from the bank, and will not rest until he recovers it.",118,5.6,724,440454,Luckunnodu,Telugu
561,Yuddham Sharanam,2017.0,UA,"Action, Thriller            ","    When his family is torn apart, Arjun sets out to on a journey to solve the mystery and seek revenge.",141,6.0,385,474955,Yuddham Sharanam,Telugu
570,Keshava,2017.0,UA,"Action, Drama, Thriller            ",    A student with a rare heart disease has to seek revenge by controlling his anger.,117,6.3,372,458016,Keshava,Telugu
19,The Ghazi Attack,2017.0,UA,"Action, Thriller, War            ","    A Pakistani submarine, Ghazi plans to secretly attack Vizag port. For doing so, it has to get past Indian submarine S21.",116,7.6,11191,442405,The Ghazi Attack,Telugu
431,Okka Kshanam,2017.0,UA,"Action, Romance, Thriller            ","    Jeeva (Allu Sirish) leads a happy life with his lover turned life partner Surabhi, until he gets to know his neighbor and their life. The couple witnesses bizarre coincidences and ...                See full summary »",150,7.0,603,494987,Okka Kshanam,Telugu
603,Jawaan,2017.0,UA,"Action, Thriller            ",    The planned robbery of a missile pits childhood friends against each other.,134,4.7,329,460735,Jawaan,Telugu
438,Goutham Nanda,2017.0,UA,"Action, Drama            ",    The son of a billionaire decides to take an extreme step by leaving behind his riches and swapping his life with a depressed techie look-alike who wants to be a billionaire.,155,6.4,591,465378,Goutham Nanda,Telugu
441,Mahanubhavudu,2017.0,UA,"Comedy, Drama, Romance            ",    A kind-hearted person must face his OCD condition in order to win his love back.,151,6.4,587,478747,Mahanubhavudu,Telugu
453,Guru,2017.0,U,"Action, Drama, Sport            ",    A curmudgeonly boxing coach sees the potential in a young woman; his belief in her changes her life.,116,7.9,568,447965,Guru,Telugu
421,Raju Gari Gadhi 2,2017.0,UA,"Comedy, Horror, Thriller            ","    Rudra, a mentalist and a medium, helps track down a ghost that is haunting a resort.",117,5.3,633,480812,Raju Gari Gadhi 2,Telugu
427,Jaya Janaki Nayaka,2017.0,UA,"Action, Romance            ","    Gagan and Sweety fall in love but are forced to break up because her father disapproves of him. While defending a family from thugs one day, Gagan unknowingly saves Sweety and vows to protect her.",149,5.1,617,466147,Jaya Janaki Nayaka,Telugu
447,Rarandoi Veduka Chudham,2017.0,UA,"Action, Romance            ","    While attending a wedding, a gregarious young man falls in love with a stubborn woman.",145,5.6,581,458641,Rarandoi Veduka Chudham,Telugu
568,Shamantakamani,2017.0,U,Drama            ,"    'Shamantakamani' is a comedy caper, which revolves around the robbery of a vintage Rolls Royce.",130,6.9,376,466926,Shamantakamani,Telugu
495,Paisa Vasool,2017.0,UA,"Action, Comedy            ",    A local officer recruits a deadly gangster to take down a crime lord.,138,4.4,486,471331,Paisa Vasool,Telugu
516,Anando Brahma,2017.0,U,"Comedy, Horror            ","    An NRI wants to sell his ancestral home, but later hears rumours of it being haunted. Unwilling to sell the property at a throwaway price, he asks a team of four guys to spend a night in the house and prove that it isn't a ghost den.",123,6.7,454,471469,Anando Brahma,Telugu
401,Vunnadhi Okate Zindagi,2017.0,U,Drama            ,    It's about friendship between 2 friends and how their life changes when a new girl comes into their life and how their friendship will be impacted upon her arrival.,152,6.4,703,483839,Vunnadhi Okate Zindagi,Telugu
