movie,year,genre,youtube_title,youtube_url
Prema Ishq Kaadhal,2013.0,Drama            ,Prema Ishq Kadhal - Theatrical Trailer l Harshvardhan Rane l Vishnu Vardhan l  VithikaSheru,https://www.youtube.com/watch?v=GuQgrY2IJ2k
Venkatadri Express,2013.0,"Adventure, Comedy            ","Venkatadri Express Movie Theatrical Trailer  - Sundeep Kishan,Rakul Preet Singh",https://www.youtube.com/watch?v=JcXqCXtlafI
Okkadine,2013.0,"Action, Romance            ","Okkadine theatrical trailer HD- Nara Rohith , Nitya menon",https://www.youtube.com/watch?v=RVqLUuBC-xI
Aadu Magaadra Bujji,2013.0,"Action, Comedy, Romance            ","Aadu Magadra Bujji Release Trailer HD - Sudheer Babu, Asmita Sood",https://www.youtube.com/watch?v=OLswTeroElg
Naa Bangaaru Talli,2013.0,"Crime, Drama, Family            ",Naa Bangaru Thalli theatrical trailer - idlebrain.com,https://www.youtube.com/watch?v=S9OzopxWSHI
Anthaka Mundu Aa Tarvatha,2013.0,"Drama, Romance            ",Anthaka Mundu Aa Tarvatha Official Theatrical trailer HD,https://www.youtube.com/watch?v=0nqTaMvUdU8
Baadshah,2013.0,"Action, Comedy            ",BAADSHAH movie Trailer shahrukh Khan and twinkle khanna love story movie,https://www.youtube.com/watch?v=AXsgXc3doRM
Uyyala Jampala,2013.0,"Drama, Family, Romance            ",Uyyala Jampala Theatrical Trailer - Raj Tarun & Anandi,https://www.youtube.com/watch?v=Fr_Qbnkj-3E
Bhai,2013.0,"Action, Comedy, Thriller            ","Bhay - The Gaurav Tiwari Mystery | Official Trailer | Karan Tacker, Kalki Koechlin |Amazon MX Player",https://www.youtube.com/watch?v=I8pz4rlV-VY
Naayak,2013.0,Action            ,"Naayak Movie Theatrical Trailer - Ram Charan Teja, Kajal Agarwal, Amala Paul",https://www.youtube.com/watch?v=fRIcLZLv3uk
Om 3D,2013.0,"Action, Thriller            ","Kalyan Ram OM 3D official Theatrical Trailer HD - Kriti Kharbanda, Nikesha Patel",https://www.youtube.com/watch?v=pTFnn8xYAMs
Jaffa,2013.0,Comedy            ,Jaffa Movie Latest Trailer - Brahmanandam | Vennela kishore HD,https://www.youtube.com/watch?v=fA6LUZgzlek
Doosukeltha,2013.0,"Action, Comedy            ",Doosukeltha Latest Trailer,https://www.youtube.com/watch?v=3MCYomb_WXI
Iddarammayilatho,2013.0,"Action, Thriller            ",Iddarammayilatho Official Trailer #1 (2013) - Allu Arjun Movie HD,https://www.youtube.com/watch?v=EFL8B74VCRg
Prema Katha Chitram,2013.0,"Drama, Horror            ","Prema katha chitram Theatrical Trailer HD Official - Sudheer Babu, Nanditha",https://www.youtube.com/watch?v=-goyHW817Zk
Ongole Githa,2013.0,"Action, Comedy            ",Ongole Gitta Teaser,https://www.youtube.com/watch?v=Hs_SkhgslFo
D for Dopidi,2013.0,"Comedy, Crime            ","D for Dopidi Movie Theatrical Trailer - Varun Sandesh, Sundeep Kishan,Melanie Kannokada",https://www.youtube.com/watch?v=RP0rsAYTRgY
Gundello Godari,2013.0,"Adventure, Drama, Romance            ",Gundello Godari - Theatrical Trailer 3,https://www.youtube.com/watch?v=apkPcAaacr0
Balupu,2013.0,"Action, Comedy            ",Balupu Movie Official Teaser | Raviteja | Shruthi Hassan | Anajali | S.S.Thaman,https://www.youtube.com/watch?v=4oEwM7DGdU4
Kevvu Keka,2013.0,Comedy            ,"Kevvu Keka Telugu Movie Trailer |  Allari Naresh, Sharmila Mandre",https://www.youtube.com/watch?v=O_jlcTEG2aQ
Sahasam,2013.0,"Action, Adventure            ","Sahasam Telugu Movie Official Trailer HD Latest - Gopichand, Tapsee Pannu",https://www.youtube.com/watch?v=kK-FYOL_m_U
Atharintiki Daaredi,2013.0,"Comedy, Drama            ",Atharintiki Daredi theatrical trailer - idlebrain.com,https://www.youtube.com/watch?v=plIVdDg5HF8
